logFC,AveExpr,t,P.Value,adj.P.Val,B,comp,geneIDs
115.2148,100.131026,145.910841099,5.68843065706796E-06,0.0643595364,1.6961528595,Male/Female,g12964
-16.082884,8.1710805,-109.3682708621,0.00001168,0.0643595364,1.6715939647,Male/Female,g7822
-15.506457,7.7532285,-98.2562527208,1.52602759587222E-05,0.0643595364,1.6583455086,Male/Female,g13891
-14.7395045,33.07630825,-98.0920124599,1.53241180314649E-05,0.0643595364,1.6581162,Male/Female,g3787
974.689122,489.5762765,93.6103197238,0.000017221,0.0643595364,1.6513991034,Male/Female,g281
-51.5375795,31.67183625,-86.9018182385,2.07322500282506E-05,0.0643595364,1.6394014231,Male/Female,g5714
-27.199158,16.090447,-80.466983404,2.51198528859719E-05,0.0643595364,1.6250704887,Male/Female,g19742
188.932251,455.091156,78.2990499027,2.68914028513607E-05,0.0643595364,1.6194612805,Male/Female,g12699
-78.917858,148.004534,-74.4915830859,3.04531235118075E-05,0.0643595364,1.6084519987,Male/Female,g17433
-23.170006,28.24407,-72.2916441236,3.28182681584066E-05,0.0643595364,1.6013207388,Male/Female,g15728
-14.638925,32.785644,-71.87316417,3.32971097212377E-05,0.0643595364,1.5998931059,Male/Female,g13122
18.798199,32.0159815,69.5252884162,3.61738392882618E-05,0.0643595364,1.5914238293,Male/Female,g5596
-10.1667745,5.08338725,-68.9834986447,3.68868440781875E-05,0.0643595364,1.5893520154,Male/Female,g5325
38.754225,71.2811405,67.0128724089,3.96529292014164E-05,0.0643595364,1.5814108912,Male/Female,g14604
59.872088,48.0430175,61.1482361593,4.98315497188569E-05,0.0754881536,1.5533608896,Male/Female,g9534
-7.771551,3.8857755,-54.6335245643,6.60007478728753E-05,0.0825009444,1.5118558242,Male/Female,g4529
17.282712,21.806088,54.5090085613,6.63774570921069E-05,0.0825009444,1.5109262585,Male/Female,g6874
33.273632,80.4807835,53.6400171419,6.90922749708219E-05,0.0825009444,1.5042722446,Male/Female,g14598
20.347043,10.1735215,52.4387836154,7.3107822713438E-05,0.0825009444,1.4945700167,Male/Female,g20236
13.132362,33.270027,51.7839360204,7.543555782889E-05,0.0825009444,1.489018856,Male/Female,g17040
37.490249,69.5617715,46.8873856286,9.6641688222405E-05,0.0825009444,1.440630338,Male/Female,g15420
-9.3779735,53.77048775,-46.5409957558,9.8445374219905E-05,0.0825009444,1.4366781328,Male/Female,g5375
-49.6974265,55.35604025,-44.4970388682,0.0001101115,0.0825009444,1.4116583885,Male/Female,g2202
268.340078,134.2871445,44.3559966317,0.0001109867,0.0825009444,1.4098176469,Male/Female,g6478
41.7104865,30.21036775,44.345083929,0.0001110548,0.0825009444,1.4096745752,Male/Female,g9532
368.9646145,270.31198875,43.2663594442,0.0001180879,0.0825009444,1.3950560123,Male/Female,g17972
17.736444,70.883441,42.9083677388,0.0001205597,0.0825009444,1.3899883084,Male/Female,g18595
-12.722402,22.518103,-42.4875225803,0.0001235592,0.0825009444,1.3838861076,Male/Female,g15741
-8.2561055,7.01982875,-41.8265029947,0.0001284855,0.0825009444,1.373973189,Male/Female,g17325
8.600299,18.256201,41.7946547603,0.0001287297,0.0825009444,1.3734851453,Male/Female,g5518
-151.8853055,114.23500525,-41.6093734379,0.0001301636,0.0825009444,1.3706264074,Male/Female,g12503
-8.659977,23.605088,-41.5478217618,0.0001306449,0.0825009444,1.3696693038,Male/Female,g12688
100.4910485,86.46316975,41.5384450674,0.0001307185,0.0825009444,1.3695231733,Male/Female,g13602
8.533217,4.2666085,41.5373329729,0.0001307272,0.0825009444,1.3695058362,Male/Female,g8369
-10.17148,22.625545,-41.2289816285,0.0001331784,0.0825009444,1.3646513803,Male/Female,g15274
-10.075817,18.920643,-40.9713906647,0.0001352757,0.0825009444,1.3605225415,Male/Female,g1318
8.6760715,32.94654675,40.7175489135,0.000137388,0.0825009444,1.3563868416,Male/Female,g7341
-11.8877435,16.24243525,-40.3142919556,0.0001408398,0.0825009444,1.34967665,Male/Female,g12590
-56.837452,142.1381205,-39.9791843305,0.0001438012,0.0825009444,1.3439659409,Male/Female,g3536
8.4832575,20.40296825,38.9031616754,0.000153922,0.0825009444,1.324760312,Male/Female,g4831
27.375786,35.2321165,38.5347683557,0.0001576163,0.0825009444,1.3178648578,Male/Female,g4213
8.0378905,23.46529325,38.3237978182,0.0001597881,0.0825009444,1.3138389309,Male/Female,g12719
10.99161,28.5763955,37.9768863468,0.0001634513,0.0825009444,1.3070935597,Male/Female,g4415
22.364027,41.22692,37.3166779812,0.0001707547,0.0825009444,1.2938104541,Male/Female,g2132
-96.2510055,101.62584775,-36.83415438,0.0001763847,0.0825009444,1.2837160266,Male/Female,g12259
11.1207885,33.77287275,36.4638193926,0.0001808835,0.0825009444,1.2757372971,Male/Female,g12274
12.960539,56.545802,36.2673354996,0.0001833357,0.0825009444,1.2714199971,Male/Female,g8907
6.082702,15.0515435,35.8448618956,0.0001887685,0.0825009444,1.2619336275,Male/Female,g1040
-134.4085835,91.66371975,-35.2591634264,0.0001966803,0.0825009444,1.2483057688,Male/Female,g16837
-9.271365,5.377395,-35.1898621654,0.000197647,0.0825009444,1.2466554583,Male/Female,g20148
-34.3917275,64.91879075,-35.0833914644,0.0001991451,0.0825009444,1.2441040507,Male/Female,g10370
5.472938,8.3347015,34.8145508715,0.0002029995,0.0825009444,1.2375744715,Male/Female,g12268
-46.6442435,31.09793375,-33.7071890537,0.0002200273,0.0825009444,1.2092996023,Male/Female,g12244
364.565716,260.705286,33.6610272931,0.0002207799,0.0825009444,1.2080705672,Male/Female,g215
-12.1230225,7.26779275,-33.6547864122,0.0002208819,0.0825009444,1.2079040861,Male/Female,g18291
4.768103,5.560355,33.5225810525,0.0002230588,0.0825009444,1.2043593425,Male/Female,g18024
33.50032,17.6464525,33.504052914,0.0002233663,0.0825009444,1.2038597913,Male/Female,g14609
46.7351575,135.48806575,33.4474165278,0.0002243099,0.0825009444,1.202328529,Male/Female,g672
-6.6478685,7.18060925,-33.2206664149,0.0002281442,0.0825009444,1.19613325,Male/Female,g6371
-13.089859,25.1655265,-33.0574157365,0.0002309617,0.0825009444,1.1916078909,Male/Female,g3411
-5.7428475,11.43638375,-32.8674293882,0.0002343024,0.0825009444,1.1862716118,Male/Female,g8440
12.082758,27.52003,32.4955358692,0.0002410403,0.0825009444,1.175603573,Male/Female,g13816
11.51459,7.524541,32.3824979486,0.000243142,0.0825009444,1.1723013851,Male/Female,g1368
23.04204,35.267461,32.3256645553,0.0002442084,0.0825009444,1.1706304233,Male/Female,g6376
30.4539125,79.21026125,32.2225702924,0.0002461596,0.0825009444,1.1675809391,Male/Female,g11195
-11.0004645,27.58638425,-32.1377933254,0.0002477805,0.0825009444,1.165055354,Male/Female,g4161
7.19614,8.216999,31.868393838,0.0002530317,0.0825009444,1.1569207492,Male/Female,g722
38.9885525,20.85150125,31.7661368424,0.0002550658,0.0825009444,1.1537890285,Male/Female,g2489
29.649799,72.245474,31.5609664872,0.0002592165,0.0825009444,1.1474310178,Male/Female,g335
-5.3196815,4.84062075,-31.5516943913,0.0002594063,0.0825009444,1.1471413137,Male/Female,g2956
30.706117,44.673555,31.1984673303,0.0002667844,0.0825009444,1.1359492369,Male/Female,g15789
13.7407435,43.26213175,31.1746681338,0.000267292,0.0825009444,1.135184112,Male/Female,g4804
-4.555772,5.456123,-30.8490618085,0.000274375,0.0825009444,1.1245728617,Male/Female,g10072
8.1293245,26.72640375,30.7848862731,0.0002758019,0.0825009444,1.1224494988,Male/Female,g14228
-8.4287695,8.47900625,-30.6125251073,0.0002796862,0.0825009444,1.1166935991,Male/Female,g19362
9.0867775,20.23679125,30.5126396213,0.0002819722,0.0825009444,1.1133222203,Male/Female,g10199
-616.3299335,387.18137725,-30.286506503,0.0002872454,0.0825009444,1.1055911035,Male/Female,g12400
-47.4301645,94.12362875,-29.948139878,0.0002953968,0.0825009444,1.0937617848,Male/Female,g15655
-10.367402,8.9124415,-29.9328856779,0.0002957719,0.0825009444,1.0932209784,Male/Female,g20035
