ids,Swiss-Prot Hit,GO Annotation
g20980,CG1386-PA {ECO:0000313|EMBL:AAF48012.1},GO:0005737; C:cytoplasm; ISM:FlyBase; GO:0016491; F:oxidoreductase activity; ISM:FlyBase; GO:0055114; P:oxidation-reduction process; ISM:FlyBase; GO:0007608; P:sensory perception of smell; IEP:FlyBase
g12268,Esterase FE4,GO:0052689; F:carboxylic ester hydrolase activity; IEA:UniProtKB-KW
g8660,Protein croquemort,"GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW; GO:0005886; C:plasma membrane; IEA:UniProtKB-KW; GO:0005044; F:scavenger receptor activity; ISS:FlyBase; GO:0006915; P:apoptotic process; IMP:FlyBase; GO:0048102; P:autophagic cell death; IEP:FlyBase; GO:0007155; P:cell adhesion; IEA:InterPro; GO:0006955; P:immune response; TAS:FlyBase; GO:0002433; P:immune response-regulating cell surface receptor signaling pathway involved in phagocytosis; IDA:FlyBase; GO:0042116; P:macrophage activation; TAS:FlyBase; GO:0006909; P:phagocytosis; IMP:FlyBase; GO:0006911; P:phagocytosis, engulfment; TAS:FlyBase; GO:0006898; P:receptor-mediated endocytosis; ISS:GOC; GO:0050764; P:regulation of phagocytosis; TAS:FlyBase; GO:0035071; P:salivary gland cell autophagic cell death; IEP:FlyBase"
g2767,N/A,N/A
g11195,AT28366p {ECO:0000313|EMBL:AAL90210.1},GO:0046872; F:metal ion binding; IEA:UniProtKB-KW; GO:0004722; F:protein serine/threonine phosphatase activity; NAS:FlyBase; GO:0006470; P:protein dephosphorylation; NAS:FlyBase
g12274,CG10444 {ECO:0000313|EMBL:AAF57489.2},GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW; GO:0005215; F:transporter activity; IEA:InterPro; GO:0055085; P:transmembrane transport; IEA:InterPro
g2205,Putative serine protease K12H4.7,GO:0008236; F:serine-type peptidase activity; IEA:UniProtKB-KW; GO:0045087; P:innate immune response; IEP:WormBase
g15428,Histone deacetylase complex subunit SAP30 homolog,"GO:0005634; C:nucleus; IEA:UniProtKB-KW; GO:0003677; F:DNA binding; IEA:UniProtKB-KW; GO:0046872; F:metal ion binding; IEA:UniProtKB-KW; GO:0006355; P:regulation of transcription, DNA-templated; IEA:UniProtKB-KW; GO:0006351; P:transcription, DNA-templated; IEA:UniProtKB-KW"
g1145,"CG4594, isoform A {ECO:0000313|EMBL:AAF52829.1}",GO:0004165; F:dodecenoyl-CoA delta-isomerase activity; IEA:UniProtKB-EC
g7517,Protein slit,"GO:0031012; C:extracellular matrix; IDA:FlyBase; GO:0005576; C:extracellular region; IDA:UniProtKB; GO:0005886; C:plasma membrane; TAS:Reactome; GO:0005578; C:proteinaceous extracellular matrix; TAS:FlyBase; GO:0071666; C:Slit-Robo signaling complex; IDA:FlyBase; GO:0005509; F:calcium ion binding; IEA:InterPro; GO:0008201; F:heparin binding; IDA:FlyBase; GO:0048495; F:Roundabout binding; IPI:FlyBase; GO:0007411; P:axon guidance; IMP:FlyBase; GO:0016199; P:axon midline choice point recognition; IMP:FlyBase; GO:0048813; P:dendrite morphogenesis; IMP:FlyBase; GO:0007502; P:digestive tract mesoderm development; IMP:FlyBase; GO:0035050; P:embryonic heart tube development; IMP:FlyBase; GO:0007427; P:epithelial cell migration, open tracheal system; IMP:FlyBase; GO:0008347; P:glial cell migration; IMP:UniProtKB; GO:0008406; P:gonad development; IMP:FlyBase; GO:0050929; P:induction of negative chemotaxis; IMP:UniProtKB; GO:0046331; P:lateral inhibition; IMP:FlyBase; GO:0007509; P:mesoderm migration involved in gastrulation; IMP:UniProtKB; GO:0008078; P:mesodermal cell migration; IMP:FlyBase; GO:0030182; P:neuron differentiation; IMP:FlyBase; GO:0001764; P:neuron migration; IMP:FlyBase; GO:0003151; P:outflow tract morphogenesis; IMP:FlyBase; GO:0022409; P:positive regulation of cell-cell adhesion; IMP:FlyBase; GO:0010632; P:regulation of epithelial cell migration; IMP:FlyBase; GO:2000274; P:regulation of epithelial cell migration, open tracheal system; IMP:FlyBase; GO:0035385; P:Roundabout signaling pathway; IGI:FlyBase; GO:0007432; P:salivary gland boundary specification; IMP:FlyBase"
g15954,Knirps-related protein,"GO:0005634; C:nucleus; IEA:UniProtKB-KW; GO:0004879; F:ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity; NAS:FlyBase; GO:0043565; F:sequence-specific DNA binding; IEA:InterPro; GO:0003707; F:steroid hormone receptor activity; IEA:InterPro; GO:0008270; F:zinc ion binding; IEA:InterPro; GO:0046845; P:branched duct epithelial cell fate determination, open tracheal system; TAS:FlyBase; GO:0007427; P:epithelial cell migration, open tracheal system; TAS:FlyBase; GO:0030522; P:intracellular receptor signaling pathway; NAS:GOC; GO:0007424; P:open tracheal system development; TAS:FlyBase; GO:0007088; P:regulation of mitosis; IMP:FlyBase; GO:0035151; P:regulation of tube size, open tracheal system; TAS:FlyBase"
g20921,Sodium/potassium-transporting ATPase subunit beta-2,"GO:0005886; C:plasma membrane; IDA:FlyBase; GO:0005918; C:septate junction; IDA:FlyBase; GO:0005890; C:sodium:potassium-exchanging ATPase complex; IC:FlyBase; GO:0098655; P:cation transmembrane transport; IDA:GOC; GO:0006812; P:cation transport; IDA:FlyBase; GO:0061343; P:cell adhesion involved in heart morphogenesis; IMP:FlyBase; GO:0060857; P:establishment of glial blood-brain barrier; IMP:FlyBase; GO:0007424; P:open tracheal system development; IMP:FlyBase; GO:0006813; P:potassium ion transport; IEA:UniProtKB-KW; GO:0035158; P:regulation of tube diameter, open tracheal system; IMP:FlyBase; GO:0035159; P:regulation of tube length, open tracheal system; IMP:FlyBase; GO:0035151; P:regulation of tube size, open tracheal system; IMP:FlyBase; GO:0007605; P:sensory perception of sound; IMP:FlyBase; GO:0019991; P:septate junction assembly; IMP:FlyBase; GO:0035725; P:sodium ion transmembrane transport; IMP:GOC"
g11486,"Arrest, isoform G {ECO:0000313|EMBL:AGB92938.1}","GO:0005737; C:cytoplasm; IDA:FlyBase; GO:0005634; C:nucleus; IGI:FlyBase; GO:0043186; C:P granule; IDA:FlyBase; GO:0003730; F:mRNA 3'-UTR binding; IDA:FlyBase; GO:0003729; F:mRNA binding; ISS:FlyBase; GO:0000166; F:nucleotide binding; IEA:InterPro; GO:0003723; F:RNA binding; IDA:FlyBase; GO:0036099; P:female germ-line stem cell maintenance; IGI:FlyBase; GO:0007281; P:germ cell development; IMP:FlyBase; GO:0042078; P:germ-line stem cell division; NAS:FlyBase; GO:0030727; P:germarium-derived female germ-line cyst formation; TAS:FlyBase; GO:0007476; P:imaginal disc-derived wing morphogenesis; IMP:FlyBase; GO:0002121; P:inter-male aggressive behavior; IMP:FlyBase; GO:0006378; P:mRNA polyadenylation; TAS:FlyBase; GO:0007319; P:negative regulation of oskar mRNA translation; IDA:FlyBase; GO:0017148; P:negative regulation of translation; IMP:FlyBase; GO:0048477; P:oogenesis; IMP:FlyBase; GO:0031536; P:positive regulation of exit from mitosis; IMP:FlyBase; GO:2000738; P:positive regulation of stem cell differentiation; IMP:FlyBase; GO:0000381; P:regulation of alternative mRNA splicing, via spliceosome; IMP:FlyBase; GO:0046011; P:regulation of oskar mRNA translation; TAS:FlyBase; GO:0007286; P:spermatid development; IMP:FlyBase"
g17462,"Diuretic hormone 44 receptor 2, isoform A {ECO:0000313|EMBL:AAF58501.4}",GO:0016021; C:integral component of membrane; ISS:FlyBase; GO:0005887; C:integral component of plasma membrane; IDA:FlyBase; GO:0004948; F:calcitonin receptor activity; ISS:FlyBase; GO:0008036; F:diuretic hormone receptor activity; IPI:FlyBase; GO:0005184; F:neuropeptide hormone activity; NAS:FlyBase; GO:0008188; F:neuropeptide receptor activity; ISS:FlyBase; GO:0007186; P:G-protein coupled receptor signaling pathway; IDA:FlyBase; GO:0009755; P:hormone-mediated signaling pathway; IDA:FlyBase; GO:0007218; P:neuropeptide signaling pathway; ISS:GOC; GO:0009651; P:response to salt stress; IMP:FlyBase
g7192,LD11247p {ECO:0000313|EMBL:AAL39562.1},GO:0017050; F:D-erythro-sphingosine kinase activity; IDA:FlyBase; GO:0004143; F:diacylglycerol kinase activity; NAS:FlyBase; GO:0003951; F:NAD+ kinase activity; IEA:UniProtKB-EC; GO:0007629; P:flight behavior; IMP:FlyBase; GO:0018991; P:oviposition; IMP:FlyBase; GO:0016310; P:phosphorylation; IDA:FlyBase; GO:0007205; P:protein kinase C-activating G-protein coupled receptor signaling pathway; IEA:InterPro; GO:0006665; P:sphingolipid metabolic process; IDA:FlyBase
g8907,"CG42637, isoform B {ECO:0000313|EMBL:AAV50029.1}","GO:0005887; C:integral component of plasma membrane; IDA:FlyBase; GO:0005886; C:plasma membrane; ISS:FlyBase; GO:0005524; F:ATP binding; IEA:InterPro; GO:0004383; F:guanylate cyclase activity; IDA:FlyBase; GO:0001653; F:peptide receptor activity; IPI:FlyBase; GO:0004672; F:protein kinase activity; IEA:InterPro; GO:0004872; F:receptor activity; IDA:FlyBase; GO:0016199; P:axon midline choice point recognition; IGI:FlyBase; GO:0035556; P:intracellular signal transduction; IEA:InterPro; GO:0007526; P:larval somatic muscle development; IMP:FlyBase; GO:0008045; P:motor neuron axon guidance; IMP:FlyBase; GO:0007428; P:primary branching, open tracheal system; IMP:FlyBase; GO:0009651; P:response to salt stress; IMP:FlyBase; GO:0007435; P:salivary gland morphogenesis; IMP:FlyBase"
g3083,LD10783p {ECO:0000313|EMBL:AAL90277.1},"GO:0005811; C:lipid particle; IDA:FlyBase; GO:0005777; C:peroxisome; ISM:FlyBase; GO:0016747; F:transferase activity, transferring acyl groups other than amino-acyl groups; IEA:InterPro"
g3542,Probable glycerol kinase,GO:0005524; F:ATP binding; IEA:UniProtKB-KW; GO:0004370; F:glycerol kinase activity; IEA:UniProtKB-EC; GO:0019563; P:glycerol catabolic process; IEA:UniProtKB-UniPathway; GO:0006072; P:glycerol-3-phosphate metabolic process; IEA:InterPro
