".id","GO.ID","GO.TERM","description","source"
"g17561","GO:0016021","C","integral component of membrane","IEA:UniProtKB-KW"
"g17561","GO:0005886","C","plasma membrane","ISS:UniProtKB"
"g17561","GO:0015574","F","trehalose transmembrane transporter activity","ISS:UniProtKB"
"g17561","GO:0015771","P","trehalose transport","ISS:UniProtKB"
"g12259","GO:0005576","C","extracellular region","IEA:UniProtKB-KW"
"g12259","GO:0052689","F","carboxylic ester hydrolase activity","IEA:UniProtKB-KW"
"g6667","GO:0005737","C","cytoplasm","IDA:FlyBase"
"g6667","GO:0005769","C","early endosome","IDA:FlyBase"
"g6667","GO:0009897","C","external side of plasma membrane","IDA:FlyBase"
"g6667","GO:0016021","C","integral component of membrane","IEA:UniProtKB-KW"
"g6667","GO:0005886","C","plasma membrane","IDA:FlyBase"
"g6667","GO:0043234","C","protein complex","IPI:FlyBase"
"g6667","GO:0019955","F","cytokine binding","TAS:FlyBase"
"g6667","GO:0042802","F","identical protein binding","IPI:IntAct"
"g6667","GO:0070976","F","TIR domain binding","IPI:FlyBase"
"g6667","GO:0004888","F","transmembrane signaling receptor activity","NAS:FlyBase"
"g6667","GO:0019732","P","antifungal humoral response","IMP:FlyBase"
"g6667","GO:0019730","P","antimicrobial humoral response","IGI:FlyBase"
"g6667","GO:0007155","P","cell adhesion","IEA:UniProtKB-KW"
"g6667","GO:0006952","P","defense response","TAS:FlyBase"
"g6667","GO:0050832","P","defense response to fungus","TAS:FlyBase"
"g6667","GO:0050830","P","defense response to Gram-positive bacterium","TAS:FlyBase"
"g6667","GO:0009950","P","dorsal/ventral axis specification","IMP:FlyBase"
"g6667","GO:0009880","P","embryonic pattern specification","TAS:FlyBase"
"g6667","GO:0007507","P","heart development","IMP:FlyBase"
"g6667","GO:0035172","P","hemocyte proliferation","IMP:FlyBase"
"g6667","GO:0030097","P","hemopoiesis","TAS:FlyBase"
"g6667","GO:0006955","P","immune response","TAS:FlyBase"
"g6667","GO:0045087","P","innate immune response","IDA:FlyBase"
"g6667","GO:0000281","P","mitotic cytokinesis","IMP:FlyBase"
"g6667","GO:0006963","P","positive regulation of antibacterial peptide biosynthetic process","IMP:FlyBase"
"g6667","GO:0006967","P","positive regulation of antifungal peptide biosynthetic process","IMP:FlyBase"
"g6667","GO:0045610","P","regulation of hemocyte differentiation","IMP:FlyBase"
"g6667","GO:0009617","P","response to bacterium","NAS:FlyBase"
"g6667","GO:0009620","P","response to fungus","TAS:FlyBase"
"g6667","GO:0007416","P","synapse assembly","IMP:FlyBase"
"g6667","GO:0016201","P","synaptic target inhibition","IMP:FlyBase"
"g6667","GO:0008063","P","Toll signaling pathway","NAS:FlyBase"
"g6667","GO:0007352","P","zygotic specification of dorsal/ventral axis","NAS:FlyBase"
"g6866","GO:0016021","C","integral component of membrane","IEA:UniProtKB-KW"
"g6866","GO:0005215","F","transporter activity","IEA:InterPro"
"g3787","GO:0005763","C","mitochondrial small ribosomal subunit","ISS:FlyBase"
"g3787","GO:0003735","F","structural constituent of ribosome","ISS:FlyBase"
"g3787","GO:0007619","P","courtship behavior","TAS:FlyBase"
"g3787","GO:0008049","P","male courtship behavior","IMP:FlyBase"
"g3787","GO:0007638","P","mechanosensory behavior","IMP:FlyBase"
"g3787","GO:0001666","P","response to hypoxia","IDA:FlyBase"
"g3787","GO:0009612","P","response to mechanical stimulus","IMP:FlyBase"
"g3787","GO:0007605","P","sensory perception of sound","IMP:FlyBase"
"g3787","GO:0006412","P","translation","ISS:FlyBase"
"g13122","GO:0005763","C","mitochondrial small ribosomal subunit","ISS:FlyBase"
"g13122","GO:0003735","F","structural constituent of ribosome","ISS:FlyBase"
"g13122","GO:0007619","P","courtship behavior","TAS:FlyBase"
"g13122","GO:0008049","P","male courtship behavior","IMP:FlyBase"
"g13122","GO:0007638","P","mechanosensory behavior","IMP:FlyBase"
"g13122","GO:0001666","P","response to hypoxia","IDA:FlyBase"
"g13122","GO:0009612","P","response to mechanical stimulus","IMP:FlyBase"
"g13122","GO:0007605","P","sensory perception of sound","IMP:FlyBase"
"g13122","GO:0006412","P","translation","ISS:FlyBase"
"g7822","GO:0008835","F","diaminohydroxyphosphoribosylaminopyrimidine deaminase activity","IEA:UniProtKB-EC"
"g7822","GO:0009982","F","pseudouridine synthase activity","IEA:UniProtKB-EC"
"g7822","GO:0003723","F","RNA binding","IEA:InterPro"
"g7822","GO:0001522","P","pseudouridine synthesis","IEA:InterPro"
"g13470","GO:0003690","F","double-stranded DNA binding","IDA:WormBase"
"g19362","GO:0016021","C","integral component of membrane","ISS:FlyBase"
"g19362","GO:0005887","C","integral component of plasma membrane","IDA:FlyBase"
"g19362","GO:0008188","F","neuropeptide receptor activity","ISS:FlyBase"
"g19362","GO:0004995","F","tachykinin receptor activity","IDA:FlyBase"
"g19362","GO:0050911","P","detection of chemical stimulus involved in sensory perception of smell","IMP:FlyBase"
"g19362","GO:0007186","P","G-protein coupled receptor signaling pathway","ISS:FlyBase"
"g19362","GO:0050805","P","negative regulation of synaptic transmission","IMP:FlyBase"
"g19362","GO:0007218","P","neuropeptide signaling pathway","IDA:FlyBase"
"g19362","GO:0042048","P","olfactory behavior","IMP:FlyBase"
"g19362","GO:0007217","P","tachykinin receptor signaling pathway","IDA:FlyBase"
"g17433","GO:0005524","F","ATP binding","IEA:UniProtKB-KW"
"g17433","GO:0046872","F","metal ion binding","IEA:UniProtKB-KW"
"g17433","GO:0004478","F","methionine adenosyltransferase activity","ISS:FlyBase"
"g17433","GO:0022416","P","chaeta development","IGI:FlyBase"
"g17433","GO:0006730","P","one-carbon metabolic process","IEA:UniProtKB-KW"
"g17433","GO:0006556","P","S-adenosylmethionine biosynthetic process","IMP:FlyBase"
"g17433","GO:0035220","P","wing disc development","IGI:FlyBase"
"g2930","GO:0016021","C","integral component of membrane","ISS:UniProtKB"
"g2930","GO:0008273","F","calcium, potassium","ISS:UniProtKB"
"g2930","GO:0015293","F","symporter activity","IEA:UniProtKB-KW"
"g2930","GO:0006816","P","calcium ion transport","ISS:UniProtKB"
"g2930","GO:0035725","P","sodium ion transmembrane transport","ISS:GOC"
"g2930","GO:0006814","P","sodium ion transport","ISS:UniProtKB"
"g6300","GO:0030054","C","cell junction","IEA:UniProtKB-KW"
"g6300","GO:0034707","C","chloride channel complex","IEA:UniProtKB-KW"
"g6300","GO:0045211","C","postsynaptic membrane","IEA:UniProtKB-KW"
"g6300","GO:0005254","F","chloride channel activity","IEA:UniProtKB-KW"
"g6300","GO:0005230","F","extracellular ligand-gated ion channel activity","IEA:InterPro"
"g12400","GO:0005576","C","extracellular region","IEA:UniProtKB-KW"
"g12400","GO:0042742","P","defense response to bacterium","IEA:UniProtKB-KW"
"g12400","GO:0050832","P","defense response to fungus","IEA:UniProtKB-KW"
"g12400","GO:0045087","P","innate immune response","IEA:UniProtKB-KW"
"g12400","GO:0031640","P","killing of cells of other organism","IEA:UniProtKB-KW"
"g14908","GO:0005840","C","ribosome","IEA:UniProtKB-KW"
"g14908","GO:0003735","F","structural constituent of ribosome","IEA:InterPro"
"g14908","GO:0006412","P","translation","IEA:InterPro"
"g10309","GO:0005581","C","collagen trimer","IEA:UniProtKB-KW"
"g10309","GO:0016021","C","integral component of membrane","IEA:UniProtKB-KW"
"g10309","GO:0005886","C","plasma membrane","IEA:UniProtKB-KW"
"g68","GO:0016021","C","integral component of membrane","IEA:UniProtKB-KW"
"g68","GO:0005778","C","peroxisomal membrane","ISM:FlyBase"
"g68","GO:0005777","C","peroxisome","ISS:UniProtKB"
"g68","GO:0080019","F","fatty-acyl-CoA reductase (alcohol-forming) activity","IEA:InterPro"
"g68","GO:0050062","F","long-chain-fatty-acyl-CoA reductase activity","ISS:UniProtKB"
"g68","GO:0006629","P","lipid metabolic process","IEA:UniProtKB-KW"
"g68","GO:0010025","P","wax biosynthetic process","ISS:UniProtKB"
"g14996","GO:0005840","C","ribosome","IDA:FlyBase"
"g14996","GO:0003735","F","structural constituent of ribosome","IDA:FlyBase"
"g14569","GO:0005524","F","ATP binding","IEA:UniProtKB-KW"
"g14569","GO:0046872","F","metal ion binding","IEA:UniProtKB-KW"
"g14569","GO:0004674","F","protein serine/threonine kinase activity","IEA:UniProtKB-KW"
"g8440","GO:0016021","C","integral component of membrane","ISS:FlyBase"
"g8440","GO:0005887","C","integral component of plasma membrane","IDA:FlyBase"
"g8440","GO:0045121","C","membrane raft","IDA:FlyBase"
"g8440","GO:0005886","C","plasma membrane","IDA:FlyBase"
"g8440","GO:0042734","C","presynaptic membrane","IBA:RefGenome"
"g8440","GO:0015485","F","cholesterol binding","IDA:FlyBase"
"g8440","GO:0004930","F","G-protein coupled receptor activity","ISS:FlyBase"
"g8440","GO:0016595","F","glutamate binding","IDA:FlyBase"
"g8440","GO:0008066","F","glutamate receptor activity","ISS:FlyBase"
"g8440","GO:0001641","F","group II metabotropic glutamate receptor activity","IDA:FlyBase"
"g8440","GO:0001642","F","group III metabotropic glutamate receptor activity","IBA:RefGenome"
"g8440","GO:0007196","P","adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway","IBA:RefGenome"
"g8440","GO:0007216","P","G-protein coupled glutamate receptor signaling pathway","IDA:FlyBase"
"g8440","GO:0007528","P","neuromuscular junction development","IMP:FlyBase"
"g8440","GO:0051966","P","regulation of synaptic transmission, glutamatergic","IMP:FlyBase"
"g12688","GO:0004109","F","coproporphyrinogen oxidase activity","ISS:FlyBase"
"g12688","GO:0042803","F","protein homodimerization activity","ISS:UniProtKB"
"g12688","GO:0006782","P","protoporphyrinogen IX biosynthetic process","IEA:UniProtKB-UniPathway"
"g12590","GO:0005737","C","cytoplasm","IEA:UniProtKB-KW"
"g12590","GO:0005634","C","nucleus","IEA:UniProtKB-KW"
"g12590","GO:0032041","F","NAD-dependent histone deacetylase activity (H3-K14 specific)","IEA:UniProtKB-EC"
"g12590","GO:0097372","F","NAD-dependent histone deacetylase activity (H3-K18 specific)","IEA:UniProtKB-EC"
"g12590","GO:0046969","F","NAD-dependent histone deacetylase activity (H3-K9 specific)","IEA:UniProtKB-EC"
"g12590","GO:0046970","F","NAD-dependent histone deacetylase activity (H4-K16 specific)","IEA:UniProtKB-EC"
"g12590","GO:0006355","P","regulation of transcription, DNA-templated","IEA:UniProtKB-KW"
"g12590","GO:0006351","P","transcription, DNA-templated","IEA:UniProtKB-KW"
"g5325","GO:0045179","C","apical cortex","IDA:UniProtKB"
"g5325","GO:0005737","C","cytoplasm","IDA:UniProtKB"
"g5325","GO:0005886","C","plasma membrane","IDA:UniProtKB"
"g5325","GO:0001965","F","G-protein alpha-subunit binding","IPI:FlyBase"
